H,S,V
0.8472222222222222,0.8356164383561644,0.5725490196078431
0.8138888888888889,0.9054726368159205,0.788235294117647
0.48333333333333334,0.16317991631799164,0.9372549019607843
0.45,0.44705882352941173,1.0
0.5583333333333333,0.9784946236559139,0.7294117647058823
0.6944444444444444,0.9920318725099602,0.984313725490196
0.375,0.3003952569169961,0.9921568627450981
0.7277777777777777,0.5855855855855855,0.8705882352941177
0.8083333333333333,0.7513227513227513,0.7411764705882353
0.4305555555555556,0.5474452554744524,0.5372549019607843
0.1527777777777778,0.7239263803680981,0.6392156862745098
0.7305555555555555,0.9278350515463917,0.3803921568627451
0.6166666666666667,0.8333333333333334,0.8235294117647058
0.25555555555555554,0.5,0.23529411764705882
0.49166666666666664,0.9492385786802031,0.7725490196078432
0.46111111111111114,1.0,1.0
0.35555555555555557,0.5758928571428571,0.8784313725490196
0.5055555555555555,0.18918918918918926,0.5803921568627451
0.7305555555555555,0.27868852459016397,0.47843137254901963
0.8722222222222222,0.9712918660287081,0.8196078431372549
0.675,0.5413533834586466,0.5215686274509804
0.9916666666666667,0.7244897959183674,0.7686274509803922
0.34444444444444444,0.7638888888888888,0.8470588235294118
0.6111111111111112,0.35874439461883406,0.8745098039215686
0.8083333333333333,0.7836734693877551,0.9607843137254902
0.9777777777777777,0.49222797927461137,0.7568627450980392
0.33055555555555555,0.7415254237288136,0.9254901960784314
0.4638888888888889,0.5771144278606966,0.788235294117647
0.8277777777777777,0.9292035398230089,0.44313725490196076
0.7138888888888889,0.5738396624472575,0.9294117647058824
0.2111111111111111,0.9828326180257511,0.9137254901960784
0.625,0.36111111111111116,0.7058823529411765
0.5666666666666667,0.30851063829787245,0.7372549019607844
0.24444444444444444,0.6075268817204301,0.7294117647058823
0.725,0.9567567567567568,0.7254901960784313
0.975,0.9444444444444445,0.7058823529411765
0.37777777777777777,0.9390243902439024,0.9647058823529412
0.25555555555555554,0.8917525773195876,0.7607843137254902
0.35833333333333334,0.9797979797979798,0.7764705882352941
0.34444444444444444,0.6329787234042553,0.7372549019607844
0.675,0.6992481203007519,0.5215686274509804
0.8,0.772093023255814,0.8431372549019608
0.9388888888888889,0.2716763005780347,0.6784313725490196
0.7722222222222223,0.7309941520467835,0.6705882352941176
0.7,0.6831275720164608,0.9529411764705882
0.1361111111111111,0.5037593984962406,0.5215686274509804
0.9916666666666667,0.8780487804878049,0.803921568627451
0.6166666666666667,0.09219858156028375,0.5529411764705883
0.9833333333333333,0.6387096774193548,0.6078431372549019
0.49444444444444446,0.1522842639593909,0.7725490196078432
0.4166666666666667,0.772,0.9803921568627451
0.6333333333333333,0.6339869281045751,0.6
0.8194444444444444,0.6326530612244898,0.9607843137254902
0.9555555555555556,0.3571428571428571,0.8235294117647058
0.5611111111111111,0.46245059288537554,0.9921568627450981
0.5472222222222223,0.6732283464566929,0.996078431372549
0.8722222222222222,0.870967741935484,0.8509803921568627
0.011111111111111112,0.6685082872928177,0.7098039215686275
0.55,0.6205128205128204,0.7647058823529411
